email,password
your_test_email@gmail.com,TestPass123!
fake_email1@gmail.com,WrongPass1
fake_email2@gmail.com,WrongPass2
john.doe.testing@gmail.com,JohnTest@2026
sarah.demo.account@gmail.com,SarahPass#45
michael.temp.user@gmail.com,TempUser789!
emma.practice.login@gmail.com,EmmaSecure12$
alex.sample.mail@gmail.com,AlexLogin@99
qa.testing.bot@gmail.com,QATest!456
dev.account.check@gmail.com,DevCheck#2026
automation.user.test@gmail.com,AutoUser@321
staging.account.demo@gmail.com,StagePass!2026
frontend.testing01@gmail.com,FrontEnd#88
backend.testing02@gmail.com,BackEnd@77
